ExperimentID,Tier,Pattern,HotAccessCount,ColdAccessInterval,NUMALocalAccess,NUMARemoteAccess,DRAMAccess,PMEMAccess,MinLatency,P50Latency,P99Latency,MaxLatency,MeanLatency,MigrationMinLatency,MigrationP50Latency,MigrationP99Latency,MigrationMaxLatency,MigrationMeanLatency,LocalToRemote,RemoteToLocal,PMEMToRemote,RemoteToPMEM,LocalToPMEM,PMEMToLocal,DRAMToPMEM,PMEMToDRAM,Throughput
31,2,"uniform,uniform,uniform",5,100,,,29899,101,24,35.2862,119.84,4353,38.3273,23319,26077.4,37629.3,114835,28998.3,,,,,,,82,0,8.50418e+06
32,2,"uniform,uniform,uniform",5,100,,,29950,50,25,36.1614,137.449,4078,40.4015,23878,32538.6,94000.2,110145,39344.5,,,,,,,53,0,9.09835e+06
33,2,"uniform,uniform,uniform",5,100,,,29956,44,25,35.969,62.5264,8388,36.812,25779,33376.5,46852,114079,34379.3,,,,,,,62,0,9.27106e+06
34,2,"uniform,uniform,uniform",5,100,,,29909,91,24,35.9786,162.829,846,43.3807,24209,32341.9,86438,108415,34351.3,,,,,,,77,0,7.60173e+06
35,2,"uniform,uniform,uniform",5,100,,,29910,90,25,35.9302,134.665,708,40.2354,25056,32664.8,46409.4,114706,34549.1,,,,,,,63,0,8.86615e+06
36,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8518,110.821,550,35.7468,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.79745e+07
37,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.6141,169.78,540,35.8966,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.78578e+07
38,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8166,53.7851,547,35.5909,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80971e+07
39,2,"uniform,uniform,uniform",5,200,,,30000,0,24,35.8633,182.316,462,41.2643,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.4234e+07
40,2,"uniform,uniform,uniform",5,200,,,30000,0,25,35.8818,143.868,680,41.3644,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.41754e+07
41,2,"uniform,uniform,uniform",5,500,,,30000,0,24,35.8529,94.3891,485,36.2188,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.761e+07
42,2,"uniform,uniform,uniform",5,500,,,30000,0,24,35.7403,185.762,3682,38.425,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.60247e+07
43,2,"uniform,uniform,uniform",5,500,,,30000,0,25,35.8676,55.3199,488,36.3976,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.74744e+07
44,2,"uniform,uniform,uniform",5,500,,,30000,0,25,35.8092,294.802,12619,39.7379,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.51649e+07
45,2,"uniform,uniform,uniform",5,500,,,30000,0,24,35.8689,140.277,466,37.2429,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.68508e+07
46,2,"uniform,uniform,uniform",5,1000,,,30000,0,25,35.9275,237.435,2057,39.4638,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.53397e+07
47,2,"uniform,uniform,uniform",5,1000,,,30000,0,24,35.9323,93.6646,541,36.463,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.7425e+07
48,2,"uniform,uniform,uniform",5,1000,,,30000,0,24,35.7343,40.3253,4549,35.0865,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.8501e+07
49,2,"uniform,uniform,uniform",5,1000,,,30000,0,25,35.5583,44.8772,490,35.645,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.80544e+07
50,2,"uniform,uniform,uniform",5,1000,,,30000,0,23,36.0161,420.58,2498,43.1108,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.3196e+07
51,2,"uniform,uniform,uniform",10,10,,,26667,3333,24,40.257,887.655,5420,78.142,23599,27738.3,39602.6,125640,28349.3,,,,,,,3966,0,261375
52,2,"uniform,uniform,uniform",10,10,,,13522,16478,25,37.7832,758.531,9402,84.5939,20849,27855.8,39297.1,250521,28647.8,,,,,,,4182,133,237806
53,2,"uniform,uniform,uniform",10,10,,,13276,16724,24,36.8416,803.598,7678,77.7049,20854,25864,37852.3,113782,26870.9,,,,,,,4072,193,256551
54,2,"uniform,uniform,uniform",10,10,,,14423,15577,24,39.8372,892.018,10098,91.6851,20572,25559,35264.9,452463,27208.1,,,,,,,4145,306,242221
55,2,"uniform,uniform,uniform",10,10,,,17583,12417,24,43.2725,863.966,9852,85.5938,21167,25645.6,35805.6,748529,26989.6,,,,,,,4127,129,255460
56,2,"uniform,uniform,uniform",10,100,,,29979,21,25,36.1174,127.304,3170,37.7102,27619,33564.8,78593.6,104933,41098.4,,,,,,,32,0,1.22626e+07
57,2,"uniform,uniform,uniform",10,100,,,29948,52,24,35.9592,141.658,1785,35.9194,25021,32847.3,37605,105371,34115.9,,,,,,,51,0,1.06478e+07
58,2,"uniform,uniform,uniform",10,100,,,29843,157,24,35.9031,183.319,2208,40.4149,23378,31385.2,92771,126465,34059.1,,,,,,,96,0,6.69325e+06
59,2,"uniform,uniform,uniform",10,100,,,29979,21,25,35.9449,140.087,805,35.8276,25539,30610.2,86050.8,119559,40654.5,,,,,,,32,0,1.26275e+07
60,2,"uniform,uniform,uniform",10,100,,,29867,133,24,35.9547,126.256,958,39.4468,23253,28035.2,48607.9,108669,29709.3,,,,,,,93,0,7.60193e+06
61,2,"uniform,uniform,uniform",10,200,,,30000,0,24,35.8569,156.95,3032,38.9897,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.56478e+07
62,2,"uniform,uniform,uniform",10,200,,,30000,0,25,35.892,308.041,555,39.5833,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.52632e+07
63,2,"uniform,uniform,uniform",10,200,,,30000,0,25,35.7661,40.5012,472,35.2268,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.83875e+07
64,2,"uniform,uniform,uniform",10,200,,,30000,0,25,35.8356,58.8694,592,36.957,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.70584e+07
65,2,"uniform,uniform,uniform",10,200,,,30000,0,25,35.6087,61.3096,453,34.3665,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.90981e+07
66,2,"uniform,uniform,uniform",10,500,,,30000,0,24,36.687,226.94,6675,36.8357,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.71476e+07
67,2,"uniform,uniform,uniform",10,500,,,30000,0,25,35.9849,113.401,9102,37.9738,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.63339e+07
68,2,"uniform,uniform,uniform",10,500,,,30000,0,24,35.7689,59.8582,5219,36.2139,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.76137e+07
69,2,"uniform,uniform,uniform",10,500,,,30000,0,24,35.9536,322.759,9087,40.8775,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.44633e+07
70,2,"uniform,uniform,uniform",10,500,,,30000,0,25,35.9416,265.444,537,39.0988,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.55762e+07
71,2,"uniform,uniform,uniform",10,1000,,,30000,0,25,36.2698,196.885,499,36.0039,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.77748e+07
72,2,"uniform,uniform,uniform",10,1000,,,30000,0,24,35.2144,48.6759,468,34.815,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.87232e+07
73,2,"uniform,uniform,uniform",10,1000,,,30000,0,24,35.9483,422.862,791,41.5078,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.40918e+07
74,2,"uniform,uniform,uniform",10,1000,,,30000,0,25,35.8872,404.759,5018,40.3085,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.48087e+07
75,2,"uniform,uniform,uniform",10,1000,,,30000,0,24,34.896,89.0872,609,39.5552,18446744073709551615,0,0,0,-nan,,,,,,,0,0,2.52811e+07
76,2,"uniform,uniform,uniform",30,10,,,13578,16422,25,37.4087,935.65,6943,82.74,21276,25249.9,37642.2,361184,26891,,,,,,,4291,0,254515
77,2,"uniform,uniform,uniform",30,10,,,11898,18102,25,36.7122,809.639,9115,82.0233,21301,26002.5,39184.9,213753,27335.8,,,,,,,4137,0,259631
78,2,"uniform,uniform,uniform",30,10,,,12842,17158,25,37.6871,936.967,13164,95.6943,21162,25215.6,36647.7,399588,26771.7,,,,,,,4108,0,265842
79,2,"uniform,uniform,uniform",30,10,,,12576,17424,24,38.0548,963.705,12547,96.943,24362,27922.1,41000.5,192873,28724.9,,,,,,,4192,0,243263
80,2,"uniform,uniform,uniform",30,10,,,15601,14399,25,37.1452,947.976,7545,80.8455,23729,28029,53254.1,508526,29170.6,,,,,,,4150,0,242948
81,2,"uniform,uniform,uniform",30,100,,,29956,44,25,35.9396,69.9285,725,36.6151,23317,29919.5,87302.7,470623,38603.4,,,,,,,58,0,8.98889e+06
82,2,"uniform,uniform,uniform",30,100,,,29858,142,25,36.4887,211.407,9616,43.6727,25347,29991.4,43403.6,123067,31852.5,,,,,,,103,0,6.53454e+06
83,2,"uniform,uniform,uniform",30,100,,,29894,106,25,36.2893,154.26,1149,45.5391,24040,27261,38684,136261,31662.8,,,,,,,69,0,8.44854e+06
84,2,"uniform,uniform,uniform",30,100,,,29950,50,24,36.9378,124.375,7362,40.1567,23171,25880.2,51208,119434,30470.6,,,,,,,63,0,9.602e+06
85,2,"uniform,uniform,uniform",30,100,,,29948,52,25,36.3453,168.367,4886,39.1757,26992,29057.4,62876.2,112908,32506.5,,,,,,,53,0,1.03515e+07
